layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
ln_out,13,0.0,1.0,0.10189460217952728,0.3672982007265091
blocks.0,29,0.0,1.0,0.09934642910957336,0.3664488097031911
blocks.1,29,0.0,1.0,0.09934642910957336,0.3664488097031911
embed,29,0.0,1.0,0.09934642910957336,0.3664488097031911
ln_out,33,0.008268228732049465,1.0,0.08742578327655792,0.36523133733620244
ln_out,0,0.0042968750931322575,1.0,0.0910486951470375,0.3651151900800566
ln_out,42,0.0,1.0,0.09216189384460449,0.36405396461486816
blocks.0,23,0.0,1.0,0.09186840802431107,0.36395613600810367
blocks.1,23,0.0,1.0,0.09186840802431107,0.36395613600810367
embed,23,0.0,1.0,0.09186840802431107,0.36395613600810367
ln_out,16,0.0,1.0,0.09103063493967056,0.36367687831322354
blocks.0,58,0.0009765625,1.0,0.08958312124013901,0.36351989458004635
blocks.1,58,0.0009765625,1.0,0.08958312124013901,0.36351989458004635
embed,58,0.0009765625,1.0,0.08958312124013901,0.36351989458004635
blocks.0,17,0.0,1.0,0.08945895731449127,0.36315298577149707
blocks.1,17,0.0,1.0,0.08945895731449127,0.36315298577149707
embed,17,0.0,1.0,0.08945895731449127,0.36315298577149707
blocks.0,63,0.0,1.0,0.08728185296058655,0.3624272843201955
blocks.1,63,0.0,1.0,0.08728185296058655,0.3624272843201955
embed,63,0.0,1.0,0.08728185296058655,0.3624272843201955
ln_out,63,0.0,1.0,0.0863836258649826,0.3621278752883275
head,13,0.0,1.0,0.08611650764942169,0.36203883588314056
blocks.0,46,0.0,1.0,0.083696648478508,0.3612322161595027
blocks.1,46,0.0,1.0,0.083696648478508,0.3612322161595027
embed,46,0.0,1.0,0.083696648478508,0.3612322161595027
blocks.0,18,0.0,0.9218876957893372,0.15847840905189514,0.36012203494707745
blocks.1,18,0.0,0.9218876957893372,0.15847840905189514,0.36012203494707745
embed,18,0.0,0.9218876957893372,0.15847840905189514,0.36012203494707745
blocks.0,3,0.0,1.0,0.07692216336727142,0.35897405445575714
blocks.1,3,0.0,1.0,0.07692216336727142,0.35897405445575714
embed,3,0.0,1.0,0.07692216336727142,0.35897405445575714
blocks.0,34,0.0,1.0,0.07684619724750519,0.3589487324158351
blocks.1,34,0.0,1.0,0.07684619724750519,0.3589487324158351
embed,34,0.0,1.0,0.07684619724750519,0.3589487324158351
ln_out,62,0.0031901041511446238,1.0,0.07317183166742325,0.3587873119395226
head,15,0.0,1.0,0.07477641850709915,0.35825880616903305
blocks.0,53,0.0,1.0,0.07461149990558624,0.35820383330186206
blocks.1,53,0.0,1.0,0.07461149990558624,0.35820383330186206
embed,53,0.0,1.0,0.07461149990558624,0.35820383330186206
blocks.0,8,0.0,1.0,0.07401759177446365,0.3580058639248212
blocks.1,8,0.0,1.0,0.07401759177446365,0.3580058639248212
embed,8,0.0,1.0,0.07401759177446365,0.3580058639248212
head,14,0.0,1.0,0.07081887125968933,0.3569396237532298
ln_out,1,0.0,1.0,0.07033246010541916,0.35677748670180637
ln_out,24,0.0031901041511446238,1.0,0.06674071401357651,0.356643606054907
head,8,0.0,1.0,0.06814740598201752,0.3560491353273392
blocks.0,33,0.0,1.0,0.06391903758049011,0.3546396791934967
blocks.1,33,0.0,1.0,0.06391903758049011,0.3546396791934967
embed,33,0.0,1.0,0.06391903758049011,0.3546396791934967
ln_out,44,0.0,1.0,0.06264624744653702,0.35421541581551236
blocks.0,21,0.0,1.0,0.05836845934391022,0.3527894864479701
blocks.1,21,0.0,1.0,0.05836845934391022,0.3527894864479701
embed,21,0.0,1.0,0.05836845934391022,0.3527894864479701
blocks.0,22,0.0,1.0,0.057948723435401917,0.3526495744784673
blocks.1,22,0.0,1.0,0.057948723435401917,0.3526495744784673
embed,22,0.0,1.0,0.057948723435401917,0.3526495744784673
