layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
embed,23,0.0,1.0,0.07870130240917206,0.35956710080305737
blocks.0,46,0.0,1.0,0.07761035114526749,0.35920345038175583
blocks.1,46,0.0,1.0,0.07761035114526749,0.35920345038175583
embed,46,0.0,1.0,0.07761035114526749,0.35920345038175583
head,8,0.0,1.0,0.07558031380176544,0.35852677126725513
ln_out,1,0.0,1.0,0.07480919361114502,0.358269731203715
ln_out,24,0.003281249897554517,1.0,0.07010594010353088,0.3577957300003618
ln_out,62,0.003281249897554517,1.0,0.06917309015989304,0.3574847800191492
head,15,0.0,1.0,0.06938232481479645,0.3564607749382655
head,14,0.0,1.0,0.0659957006573677,0.3553319002191226
ln_out,12,0.0,1.0,0.06168743222951889,0.35389581074317294
blocks.0,33,0.0,1.0,0.06008990854024887,0.3533633028467496
blocks.1,33,0.0,1.0,0.06008990854024887,0.3533633028467496
embed,33,0.0,1.0,0.06008990854024887,0.3533633028467496
blocks.0,21,0.0,1.0,0.05838523060083389,0.3527950768669446
blocks.1,21,0.0,1.0,0.05838523060083389,0.3527950768669446
embed,21,0.0,1.0,0.05838523060083389,0.3527950768669446
blocks.0,22,0.0,1.0,0.05700482800602913,0.3523349426686764
blocks.1,22,0.0,1.0,0.05700482800602913,0.3523349426686764
embed,22,0.0,1.0,0.05700482800602913,0.3523349426686764
blocks.0,25,0.0,1.0,0.05668662488460541,0.35222887496153515
blocks.1,25,0.0,1.0,0.05668662488460541,0.35222887496153515
embed,25,0.0,1.0,0.05668662488460541,0.35222887496153515
blocks.0,28,0.0,1.0,0.056635499000549316,0.3522118330001831
blocks.1,28,0.0,1.0,0.056635499000549316,0.3522118330001831
embed,28,0.0,1.0,0.056635499000549316,0.3522118330001831
ln_out,44,0.0,1.0,0.05596790462732315,0.35198930154244107
ln_out,61,0.0,1.0,0.05473220348358154,0.35157740116119385
ln_out,28,0.0,1.0,0.05432047322392464,0.3514401577413082
ln_out,41,0.0,1.0,0.05419906601309776,0.3513996886710326
ln_out,39,0.0,1.0,0.05402487516403198,0.3513416250546773
ln_out,31,0.0009374999790452421,1.0,0.05183028057217598,0.3509225935170737
ln_out,8,0.0,1.0,0.04863756522536278,0.3495458550751209
blocks.0,60,0.0,1.0,0.0467807874083519,0.3489269291361173
blocks.1,60,0.0,1.0,0.0467807874083519,0.3489269291361173
embed,60,0.0,1.0,0.0467807874083519,0.3489269291361173
ln_out,35,0.0,1.0,0.04242164269089699,0.3474738808969657
ln_out,11,0.0,1.0,0.041382331401109695,0.3471274438003699
blocks.0,26,0.0,1.0,0.04031367972493172,0.3467712265749772
blocks.1,26,0.0,1.0,0.04031367972493172,0.3467712265749772
embed,26,0.0,1.0,0.04031367972493172,0.3467712265749772
blocks.0,54,0.0,1.0,0.03946062922477722,0.3464868764082591
blocks.1,54,0.0,1.0,0.03946062922477722,0.3464868764082591
embed,54,0.0,1.0,0.03946062922477722,0.3464868764082591
ln_out,29,0.0,1.0,0.03865485265851021,0.3462182842195034
ln_out,32,0.0,1.0,0.03764183074235916,0.34588061024745304
blocks.0,45,0.0,1.0,0.03617715835571289,0.345392386118571
blocks.1,45,0.0,1.0,0.03617715835571289,0.345392386118571
embed,45,0.0,1.0,0.03617715835571289,0.345392386118571
ln_out,23,0.0,1.0,0.0350043885409832,0.3450014628469944
ln_out,9,0.0,1.0,0.03331945836544037,0.3444398194551468
blocks.0,12,0.0,1.0,0.032824013382196426,0.3442746711273988
blocks.1,12,0.0,1.0,0.032824013382196426,0.3442746711273988
embed,12,0.0,1.0,0.032824013382196426,0.3442746711273988
blocks.0,1,0.0,1.0,0.030492786318063736,0.3434975954393546
blocks.1,1,0.0,1.0,0.030492786318063736,0.3434975954393546
embed,1,0.0,1.0,0.030492786318063736,0.3434975954393546
blocks.0,5,0.0,1.0,0.029123157262802124,0.343041052420934
blocks.1,5,0.0,1.0,0.029123157262802124,0.343041052420934
embed,5,0.0,1.0,0.029123157262802124,0.343041052420934
ln_out,3,0.0,1.0,0.028629908338189125,0.3428766361127297
blocks.0,4,0.0,1.0,0.027680406346917152,0.3425601354489724
blocks.1,4,0.0,1.0,0.027680406346917152,0.3425601354489724
embed,4,0.0,1.0,0.027680406346917152,0.3425601354489724
blocks.0,44,0.0,1.0,0.02712654322385788,0.3423755144079526
blocks.1,44,0.0,1.0,0.02712654322385788,0.3423755144079526
embed,44,0.0,1.0,0.02712654322385788,0.3423755144079526
blocks.0,55,0.0,1.0,0.026407338678836823,0.3421357795596123
blocks.1,55,0.0,1.0,0.026407338678836823,0.3421357795596123
embed,55,0.0,1.0,0.026407338678836823,0.3421357795596123
