layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
blocks.1,3,0.0,1.0,0.07949010282754898,0.35983003427584964
embed,3,0.0,1.0,0.07949010282754898,0.35983003427584964
blocks.0,34,0.0,1.0,0.0786593034863472,0.35955310116211575
blocks.1,34,0.0,1.0,0.0786593034863472,0.35955310116211575
embed,34,0.0,1.0,0.0786593034863472,0.35955310116211575
ln_out,62,0.0031901041511446238,1.0,0.07507927715778351,0.359423127102976
blocks.0,53,0.0,1.0,0.07336952537298203,0.357789841790994
blocks.1,53,0.0,1.0,0.07336952537298203,0.357789841790994
embed,53,0.0,1.0,0.07336952537298203,0.357789841790994
blocks.0,8,0.0,1.0,0.0731888934969902,0.3577296311656634
blocks.1,8,0.0,1.0,0.0731888934969902,0.3577296311656634
embed,8,0.0,1.0,0.0731888934969902,0.3577296311656634
head,8,0.0,1.0,0.07245923578739166,0.35748641192913055
head,15,0.0,1.0,0.07234562933444977,0.3574485431114833
ln_out,1,0.0,1.0,0.0701686218380928,0.3567228739460309
ln_out,24,0.0031901041511446238,1.0,0.06614543497562408,0.3564451797089229
head,14,0.0,1.0,0.06879886239767075,0.35626628746589023
blocks.0,33,0.0,1.0,0.06326401233673096,0.35442133744557697
blocks.1,33,0.0,1.0,0.06326401233673096,0.35442133744557697
embed,33,0.0,1.0,0.06326401233673096,0.35442133744557697
ln_out,44,0.0,1.0,0.06274618208408356,0.3542487273613612
blocks.0,22,0.0,1.0,0.05878237634897232,0.35292745878299076
blocks.1,22,0.0,1.0,0.05878237634897232,0.35292745878299076
embed,22,0.0,1.0,0.05878237634897232,0.35292745878299076
blocks.0,21,0.0,1.0,0.056940577924251556,0.3523135259747505
blocks.1,21,0.0,1.0,0.056940577924251556,0.3523135259747505
embed,21,0.0,1.0,0.056940577924251556,0.3523135259747505
blocks.0,28,0.0,1.0,0.056539278477430344,0.35217975949247676
blocks.1,28,0.0,1.0,0.056539278477430344,0.35217975949247676
embed,28,0.0,1.0,0.056539278477430344,0.35217975949247676
ln_out,29,0.0,1.0,0.056162070482969284,0.3520540234943231
ln_out,61,0.0,1.0,0.05566582828760147,0.35188860942920047
